model,reason
albuquerque2011ontobio,class
alkhalaf2024,"class, relation"
aristotle-ontology2019,"class, relation"
barcelos2015transport-networks,"class, relation"
derave2019dpo,"class, relation"
ferreira2015ontoemergeplan,"class, relation"
goncalves2011ecg,"class, relation"
kritz2020ontobg,class
lindeberg2022full-ontorights,"class, relation"
mgic-antt2011,"class, relation"
o3ontology2015,"class, relation"
schoonderbeek2024eamon,relation
services2015,class
silva2023onto4caal,class
silva2023onto4elev,class
spo2017,class
xhani2023xmlpo,class
