Percentage,Top k Stereotypes,Coverage
10.0,2,0.5390883626177744
20.0,4,0.7155589508530685
30.0,6,0.8222561751973516
40.0,8,0.8887191240132417
50.0,10,0.9233511586452763
60.0,12,0.9556913674560733
70.0,14,0.9735166793990323
80.0,16,0.9859943977591037
90.0,18,0.9938884644766998
100.0,21,1.0
