Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0,0.0,0.0,41,Q3
category,0.03226140006204115,0.6923076923076923,0.6930589720668547,5,Q1
collective,0.007238134629304105,0.3076923076923077,0.3077774306311782,16,Q1
datatype,0.0010340192327577293,0.15384615384615385,0.1538496286931761,24,Q3
enumeration,0.0025850480818943233,0.10256410256410256,0.10259667445080983,26,Q3
event,0.01592389618446903,0.41025641025641024,0.4105653329570943,13,Q1
historicalRole,0.0,0.0,0.0,41,Q3
historicalRoleMixin,0.0,0.0,0.0,41,Q3
kind,0.07320856167924723,0.7435897435897436,0.7471848501375044,2,Q1
mixin,0.0070313307827525595,0.23076923076923078,0.2308763250798985,20,Q1
mode,0.030606969289628787,0.4358974358974359,0.43697066399365475,10,Q1
phase,0.014166063488780892,0.23076923076923078,0.23120362286216595,19,Q1
phaseMixin,0.0,0.0,0.0,41,Q3
quality,0.0013442250025850482,0.10256410256410256,0.10257291102253716,28,Q3
quantity,0.0034122634681005067,0.1282051282051282,0.12825052997968114,25,Q3
relator,0.09668079826284769,0.717948717948718,0.7244291120302587,3,Q1
role,0.14941577913349188,0.6666666666666666,0.6832053274810677,6,Q1
roleMixin,0.03536345776031434,0.48717948717948717,0.48846128492771423,8,Q1
situation,0.0017578326956881399,0.15384615384615385,0.1538561959397166,23,Q3
subkind,0.10950263674904354,0.6923076923076923,0.7009142374666071,4,Q1
type,0.014372867335332436,0.20512820512820512,0.20563112569491532,22,Q1
none_c,0.025333471202564368,0.20512820512820512,0.2066866355193053,21,Q1
other_c,0.007238134629304105,0.2564102564102564,0.2565123977223817,18,Q1
bringsAbout,0.0003102057698273188,0.02564102564102564,0.025642902010953605,34,Q3
characterization,0.018198738496536037,0.38461538461538464,0.38504569620462653,14,Q1
comparative,0.001551028849136594,0.02564102564102564,0.02568789377147508,32,Q3
componentOf,0.03391583083445352,0.41025641025641024,0.41165593125529876,12,Q1
creation,0.0,0.0,0.0,41,Q3
derivation,0.01230482886981698,0.2564102564102564,0.25670533380880284,17,Q1
externalDependence,0.0010340192327577293,0.07692307692307693,0.07693002638168872,29,Q3
historicalDependence,0.0005170096163788646,0.02564102564102564,0.025646237440746792,33,Q3
instantiation,0.00020680384655154586,0.02564102564102564,0.02564185960016712,36,Q3
manifestation,0.0003102057698273188,0.02564102564102564,0.025642902010953605,34,Q3
material,0.03226140006204115,0.48717948717948717,0.4882465060422155,9,Q1
mediation,0.13876538103608727,0.5384615384615384,0.5560545471232632,7,Q1
memberOf,0.013855857718953573,0.3076923076923077,0.3080041249823542,15,Q1
participation,0.001551028849136594,0.05128205128205128,0.051305501402732545,30,Q3
participational,0.0,0.0,0.0,41,Q3
subCollectionOf,0.0019646365422396855,0.10256410256410256,0.10258291734749433,27,Q3
subQuantityOf,0.0003102057698273188,0.05128205128205128,0.05128298949276038,31,Q3
termination,0.0,0.0,0.0,41,Q3
triggers,0.00020680384655154586,0.02564102564102564,0.02564185960016712,36,Q3
none_r,0.07600041360769311,0.8461538461538461,0.8495601180784601,1,Q1
other_r,0.038258711612035985,0.41025641025641024,0.41203646825334395,11,Q1
