Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,2,4,0.04878048780487805
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,2,4,0.04878048780487805
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,18,1,0.43902439024390244
mixin,0,12,0.0
mode,1,9,0.024390243902439025
phase,2,4,0.04878048780487805
phaseMixin,0,12,0.0
quality,1,9,0.024390243902439025
quantity,0,12,0.0
relator,2,4,0.04878048780487805
role,4,3,0.0975609756097561
roleMixin,2,4,0.04878048780487805
situation,0,12,0.0
subkind,6,2,0.14634146341463414
type,0,12,0.0
none,1,9,0.024390243902439025
other,0,12,0.0
