Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,material,mediation,memberOf,participation,none_r,other_r
category,1.0,0.11133346751088095,0.24641082534738917,0.3789464289261341,0.01616144302716329,0.20196928032818962,0.02853145942078476,0.05643273346513467,0.32715349519822623,0.3388692567162925,0.4064302735297507,0.14443229395135487,0.39578951349887515,0.2965090722439147,-0.008233563644798469,0.217676214767161,0.1207533297212881,0.1906481647841873,0.13474900572996676,0.14480725685195284,0.06976850826464727
event,0.11133346751088095,1.0,-0.18732450190693628,0.18047983418558688,0.09806666378954154,0.1292323827417668,-0.03911116330262627,-0.023634054552318616,0.3064479516806007,0.03192592188236001,0.317880995722455,0.19195561072453363,0.21735317679000116,-0.0534205321560307,-0.035852765511282164,0.04799417410017782,0.015908962473808894,0.09321498225106623,0.6330957253277104,0.25307947598893865,0.10036767747266762
kind,0.24641082534738917,-0.18732450190693628,1.0,0.1690943834062303,0.28661010672220644,0.17201157234966347,0.3551562843846254,0.42065436390026734,-0.14481814577870905,0.6197330881915603,-0.08369369872004105,-0.021825076658027152,0.07796524006658818,0.4729695500382674,0.2210339438549339,0.38301574526777654,0.29824437697034023,0.28264471758314014,-0.13556878133744937,0.09354040263443335,0.019312121954797812
mode,0.3789464289261341,0.18047983418558688,0.1690943834062303,1.0,0.10869125524607967,0.20062746233441417,0.13754024051134212,0.25129743980405184,0.29364514290531163,0.25595299087864115,0.3224565625543584,0.22315243269029336,0.5687946267918289,0.2708050257316038,0.05530281317739102,0.1834733692848544,0.2584732439740292,0.3385700474162627,0.0823294921628893,0.16963082735418045,0.04630674355760213
phase,0.01616144302716329,0.09806666378954154,0.28661010672220644,0.10869125524607967,1.0,0.13416531434128323,0.2896492664027394,0.40608412935071564,0.08667377986728998,0.3510514315847144,0.024276219655579898,-0.04467964875341506,0.12343793579293702,0.21603155022510592,0.20558454464951614,0.23497492898851682,0.39443856819363576,0.25877084685984647,0.04212527277575583,-0.09409976770255687,0.03767023595619275
quality,0.20196928032818962,0.1292323827417668,0.17201157234966347,0.20062746233441417,0.13416531434128323,1.0,0.11055967142792907,0.07811869594332875,0.026520822338427927,0.3164449908212236,0.12668832590483148,0.13602142261992897,0.5738044621145781,0.010862899413719021,-0.10189465103616767,0.020848298210188722,0.14712661483005915,-0.07727602262393417,0.284318730140785,-0.021249117941212058,-0.15448213293518487
relator,0.02853145942078476,-0.03911116330262627,0.3551562843846254,0.13754024051134212,0.2896492664027394,0.11055967142792907,1.0,0.4347050381591875,0.19625442397771442,0.24590209650558437,0.12298141822893159,-0.18450012873559124,0.2727436914264547,0.3972767714014705,0.3741328650185562,0.37427702110469807,0.7677517840255544,0.34477039312774893,0.03550648003607997,-0.09355011497090686,0.18839376877071573
role,0.05643273346513467,-0.023634054552318616,0.42065436390026734,0.25129743980405184,0.40608412935071564,0.07811869594332875,0.4347050381591875,1.0,0.12876901785377923,0.25290411494330994,0.033093364083874956,0.07157350512584167,0.1314390828160758,0.18813500167004596,0.29264169254492706,0.24139454289976384,0.45053424913815376,0.29844237810523566,-0.1795887683777947,0.10790682585696618,0.01717566005562845
roleMixin,0.32715349519822623,0.3064479516806007,-0.14481814577870905,0.29364514290531163,0.08667377986728998,0.026520822338427927,0.19625442397771442,0.12876901785377923,1.0,0.00524258782019184,0.3840390276982241,0.1871263773986149,0.2588465605636941,0.08529040614227032,0.07776969661415428,0.052619322236090706,0.249021950211906,0.13273876482835256,0.22174189980883946,0.19878201073123242,0.17895927342139825
subkind,0.3388692567162925,0.03192592188236001,0.6197330881915603,0.25595299087864115,0.3510514315847144,0.3164449908212236,0.24590209650558437,0.25290411494330994,0.00524258782019184,1.0,0.07224661996457858,-0.04159859270369977,0.20717362660117108,0.36890526297371956,0.014936610741765605,0.26538524118666024,0.2936526689627577,0.27014648397815516,0.04145735524722176,-0.031688902976923825,-0.05422370512375336
