stereotype,total_correlation,rank
category,2.416034737531372,6
collective,1.7940613355487511,11
datatype,1.6505756706854537,14
enumeration,1.269894253465274,17
event,2.5602290002409975,3
kind,3.305335049278556,1
mode,1.7572452166462225,12
phase,1.7425034933123644,13
quality,2.3205620115680134,8
relator,2.4532305548621545,5
role,2.136865982527046,10
roleMixin,2.28456534017735,9
situation,2.8663268404864946,2
subkind,2.355283498776404,7
type,2.4654568785528483,4
none,1.4397069674393421,16
other,1.5236973575738935,15
