Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,84,1,84,11.38211382113821
relator,77,2,161,21.81571815718157
subkind,73,3,234,31.70731707317073
category,70,4,304,41.19241192411924
role,69,5,373,50.5420054200542
event,45,6,418,56.639566395663955
mode,45,7,463,62.737127371273715
roleMixin,43,8,506,68.56368563685636
quality,36,9,542,73.44173441734418
phase,32,10,574,77.77777777777779
collective,25,11,599,81.16531165311653
datatype,21,12,620,84.01084010840108
situation,19,13,639,86.58536585365853
type,19,14,658,89.15989159891599
other,17,15,675,91.46341463414635
none,16,16,691,93.63143631436314
mixin,16,17,707,95.79945799457995
quantity,8,18,715,96.88346883468834
phaseMixin,8,19,723,97.96747967479675
enumeration,7,20,730,98.91598915989161
historicalRole,4,21,734,99.45799457994579
historicalRoleMixin,3,22,737,99.86449864498645
abstract,1,23,738,100.0
