stereotype,total_correlation,rank
category,2.0631762044853224,10
collective,1.8599129033737154,13
datatype,1.346659122000918,16
event,2.4602500482488963,3
kind,2.636485317794151,1
mixin,1.7611503522251342,14
mode,2.2659641741282277,6
phase,1.967705785913401,12
quality,2.4214323258186035,4
relator,2.134484926268253,8
role,2.048713209101145,11
roleMixin,2.1035908235500447,9
situation,2.6282024281552245,2
subkind,2.18172039852269,7
type,2.325935555124557,5
none,1.3327587744058,17
other,1.7395042219267118,15
